Australia, Sydney - http://mirror.datamossa.io/mxlinux
Austria, Graz - http://debian.mur.at/mx-linux
Austria, Graz - http://mirror.digitalnova.at/mxlinux/packages
Austria, Vienna - http://mirror.easyname.at/mxlinux-packages
Belarus, Minsk - https://mirror.datacenter.by/pub/mirrors/mxlinux.org/packages
Brazil, Manaus - http://mirror.ufam.edu.br/mx
Brazil, Parana - https://mxlinux.c3sl.ufpr.br/mx-workspace
Brazil, Sao Paolo - http://sft.if.usp.br/mx-workspace
Bulgaria, Sofia - http://mirror.telepoint.bg/mxlinux-repo
Bulgaria, Sofia - https://mxlinux.ipacct.com/MX-Packages
Canada, Halifax - http://mirror.its.dal.ca/mxlinux
Canada, Manitoba - https://muug.ca/mirror/mx-packages
Canada, Ontario - http://mxlinux.mirror.rafal.ca/MX-Packages
Canada, Vancouver - http://mirror.it.ubc.ca/mxlinux
Canada, Waterloo - https://mirror.csclub.uwaterloo.ca/mxlinux
Chile, Santiago - http://mirror.netlinux.cl/mxlinux
Chile, Valparaíso - http://mirror.insacom.cl/mxlinux
China, Alibaba Cloud - https://mirrors.aliyun.com/mxlinux
China, Beijing - https://mirrors.tuna.tsinghua.edu.cn/mxlinux
China, Chongqing - https://mirrors.cqu.edu.cn/MX_Linux
China, Shanghai - https://mirrors.sjtug.sjtu.edu.cn/mx-packages
Czech Republic, Brno - http://ftp.linux.cz/pub/linux/mxlinux/packages
Czech Republic, Prague - http://mirror.karneval.cz/pub/linux/mxlinux-packages
Denmark, Aalborg - http://mirrors.dotsrc.org/mx-packages
Denmark, Copenhagen - https://mirror.one.com/mx-packages
Ecuador, Cuenca - http://mirror.cedia.org.ec/mx-workspace
France, Amiens - http://ftp.u-picardie.fr/pub/mxlinux
France, Paris - http://ftp.lip6.fr/pub/linux/distributions/mxlinux/packages
France, Paris - https://mirrors.ircam.fr/pub/mx/packages
France, Saint Étienne du Rouvray - http://ftp.crihan.fr/mirrors/mxlinux.org-packages
France, Strasbourg - http://ftp.u-strasbg.fr/linux/distributions/mxlinux
Georgia, Tbilisi - https://mxlinux.grena.ge/mxlinux
Germany, Aachen - http://ftp.halifax.rwth-aachen.de/mxlinux/packages
Germany, Bochum - https://linux.rub.de/mxlinux/packages
Germany, Chemnitz - http://ftp.tu-chemnitz.de/pub/linux/MX/Repo
Germany, Cologne - http://mirror.plusserver.com/mxlinux/mxlinux
Germany, Frankfurt - https://mirror.23m.com/mx-packages
Germany, Göttingen - https://ftp.gwdg.de/pub/linux/mx/packages
Germany, Hamburg - https://mxlinux.mirror.iphh.net/packages
Germany, Karlsruhe - https://eu.mirror.ionos.com/linux/distributions/mx/packages
Germany, Landshut - http://mirror.funkfreundelandshut.de/mxlinux/packages
Greece, Athens - http://ftp.ntua.gr/pub/linux/mxlinux
Greece, Crete - http://ftp.cc.uoc.gr/mirrors/linux/mx
Greece, Thessaloniki - https://fosszone.csd.auth.gr/mxlinux-archive
Hong Kong, KoDDoS - https://mirror-hk.koddos.net/mxlinux
Hungary, Miskolc - https://quantum-mirror.hu/mirrors/pub/mx-linux/packages
Indonesia, Surabaya - http://kartolo.sby.datautama.net.id/mx-packages
Italy, Milan - http://it.mxrepo.com
Italy, Trieste - http://mirror.units.it/mxlinux
Japan, Saitama - http://ftp.riken.jp/Linux/mxlinux
Japan, Tokyo - https://repo.jing.rocks/mxlinux
Japan, Tsukuba - http://ftp.tsukuba.wide.ad.jp/Linux/mxlinux
Japan, Yonezawa - https://ftp.yz.yamagata-u.ac.jp/pub/Linux/MX-Linux-Packages
Kazakhstan, Almaty - http://mirror.neolabs.kz/mx/packages
Kazakhstan, Almaty - https://mirror.ps.kz/mx/packages
Kenya, Nairobi - https://mxlinux.mirror.liquidtelecom.com/packages
Latvia, Riga - http://ftp.linux.edu.lv/mxlinux
Netherlands, Alblasserdam - http://nl.mxrepo.com
Netherlands, Amsterdam - https://mirror.koddos.net/mxlinux
Netherlands, Ede - https://ftp.nluug.nl/os/Linux/distr/mxlinux
New Zealand, Tauranga - http://mx.debian.nz
Philippines, Cebu City - http://mirror.rise.ph/mxlinux-pkg
Poland, Warsaw - http://ftp.icm.edu.pl/pub/Linux/dist/antix-workspace
Portugal, Lisbon - https://ftp.rnl.tecnico.ulisboa.pt/pub/mxlinux-packages
Portugal, Lisbon - https://mirror.fccn.pt/repos/pub/mxlinux/MX-Packages
Russia, Belovo - http://mirror.truenetwork.ru/mxlinux
Russia, Moscow - https://mirror.yandex.ru/mirrors/MX-Linux/MX-Packages
Singapore - https://mirror.freedif.org/MXLinux/repo
Singapore - https://mirror.jingk.ai/mxlinux/mx-packages
Slovakia, Bratislava - http://tux.rainside.sk/mxlinux
Slovenia, Ljubljana - https://ftp.arnes.si/mirrors/mxlinux/packages
South Africa, Cape Town - https://ftp.saix.net/pub/linux/distributions/mxlinux
South Korea, Daejeon - http://ftp.kaist.ac.kr/mxlinux
South Korea, Gwangju - https://mirror.siwoo.org/mxlinux
South Korea, Seoul - http://mirror.navercorp.com/mxlinux
Spain, Andalusia - http://ftp.cica.es/mirrors/Linux/MX-Packages
Spain, Catalonia - https://ftp.caliu.cat/pub/distribucions/mxlinux/MX-Packages
Spain, Zaragoza - http://matojo.unizar.es/mxlinux
Sweden, Umeå - http://mirror.accum.se/mirror/mxlinux.org/packages
Switzerland, Zurich - http://mirror.easyname.ch/mxlinux-packages
Switzerland, Zurich - https://mx-linux.ethz.ch/mx-packages
Taiwan, Hsinchu - https://mxlinux.cs.nycu.edu.tw/mx-workspace
Thailand, Khon Kaen - https://mirror.kku.ac.th/mx-packages
Turkey, Ankara - http://ftp.linux.org.tr/mx/repo
Ukraine, Kyiv - https://distrohub.kyiv.ua/mxlinux
Ukraine, Vinnytsia - https://mx-packages.ip-connect.vn.ua
United Kingdom, London - http://mxlinux.mirrors.uk2.net/packages
United Kingdom, Manchester - https://mirrors.ukfast.co.uk/sites/MX_antiX_packages
United States, Atlanta GA - http://www.gtlib.gatech.edu/pub/MX-Linux/workspace
United States, Berkeley CA - https://mirrors.ocf.berkeley.edu/mx-packages
United States, Herndon VA - http://mirror.cogentco.com/pub/linux/mxlinux
United States, Lenexa KS - https://us.mirror.ionos.com/linux/distributions/mx/packages
United States, Los Angeles CA - http://la.mxrepo.com
United States, Maryland MD - http://mirror.umd.edu/mxlinux
United States, OR, IL, NY - http://ftp.osuosl.org/pub/mxlinux
United States, Princeton NJ - http://mirror.math.princeton.edu/pub/mxlinux
United States, Rochester NY - http://mirrors.rit.edu/mxlinux/mx-packages
United States, Salt Lake City UT - https://mxrepo.com
United States, West Lafayette IN - https://plug-mirror.rcac.purdue.edu/mx-linux/packages
Uzbekistan, Tashkent - http://mirror.dc.uz/mxlinux
Vietnam, Hanoi - https://mirror.meowsmp.net/mxlinux/packages
